Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Mona,Ismail,Ringvägen 463,Östersund,56103,Sverige,SE,19900205-2976,+46,08-657 09 76,1990-02-05,True
Ivar,Ellingsen,Birkelandtunet 07A,Kåregrunn,9447,Norge,NO,19981206-7138,+47,+47 23 40 03 12,1998-12-06,True
Joakim,Karlsson,Industritorget 77,Varberg,95809,Sverige,SE,19811003-3093,+46,081-151 57 68,1981-10-03,True
Julie,Tangen,Solbergrøa 9,Mathisen,9709,Norge,NO,19980308-4165,+47,66 94 55 46,1998-03-08,True
Nicklas,Persson,Villatorget 2,Kalmar,55795,Sverige,SE,19680426-2056,+46,0512-72 32 48,1968-04-26,True
Christel,Svanberg,Fabriksgatan 36,Halmstad,10338,Sverige,SE,19890504-1855,+46,+46 (0)8 426 205 42,1989-05-04,True
Peter,Johansson,Strandgränd 2,Växjö,44432,Sverige,SE,19920711-5848,+46,+46 (0)8 133 152 52,1992-07-11,True
Rasmus,Backlund,Järnvägsgränd 1,Trollhättan,39880,Sverige,SE,19581019-6072,+45,0484-230 08,1958-10-19,True
Lotta,Jonsson,Parkgatan 860,Malmö,89055,Norge,SE,19800531-7021,+46,016-914 46 60,1980-05-31,True
Stian,Myhre,Bakkealléen 8,Isaksen,8409,Norge,NO,19481012-2677,+47,48832634,1948-10-12,True
Lars,Johansson,Idrottsgränd 6,Skellefteå,12190,Sverige,SE,19851018-7818,+46,0914-02 12 97,1985-10-18,True
Olof,Mattsson,Bäckgränd 81,Trelleborg,43581,Sverige,SE,19400905-6369,+46,+46 (0)44 23 64 54,1940-09-05,True
Joel,Ivarsson,Villatorget 59,Motala,43013,Sverige,SE,19540803-5251,+46,+46 (0)172 002 95,1954-08-03,True
Arja,Niemi,Sahaajanpolku 7,Ilomantsi,79938,Finland,FI,19650527-5264,+358,+358 63 7767637,1965-05-27,True
Megan,Ray,Jacqueline Meadows 114,South Ambershire,67997,Danmark,DK,19780802-3084,+45,505-903-5432,1978-08-02,True
Henri,Laine,Wavulinintie 087,Jämijärvi,42156,Finland,FI,19780320-801V,+358,(+358) 779522491,1978-03-20,True
Daniel,Johansson,Åkergränd 618,Sundsvall,54456,Sverige,SE,19680501-7759,+46,08-936 540 62,1968-05-01,True
Patrik,Eriksson,Granstigen 160,Sundsvall,72657,Sverige,SE,19810629-7345,+46,052-02 42 10,1981-06-29,True
